grid_x,grid_y,real_x,real_y,height,terrain_type,r,g,b,hsv_h,hsv_s,hsv_v
0,27,363814.8,363286.81,116.29,GRASS,57,74,58,122.1,0.226,0.291
0,28,363814.8,363287.01,116.29,GRASS,58,73,57,117.3,0.225,0.288
0,29,363814.8,363287.21,116.29,GRASS,58,73,56,111.7,0.232,0.287
0,30,363814.8,363287.41,116.32,GRASS,60,74,57,108.7,0.229,0.291
0,31,363814.8,363287.61,116.32,GRASS,64,77,60,107.3,0.219,0.304
0,32,363814.8,363287.81,116.32,GRASS,70,82,66,105.3,0.205,0.323
0,33,363814.8,363288.01,116.32,GRASS,74,86,69,104.1,0.193,0.337
0,34,363814.8,363288.21,116.32,GRASS,75,87,70,102.9,0.189,0.34
0,35,363814.8,363288.41,116.32,GRASS,73,85,68,103.5,0.195,0.332
0,36,363814.8,363288.61,116.32,GRASS,69,81,64,104.7,0.207,0.318
0,37,363814.8,363288.81,116.32,GRASS,64,77,60,106.4,0.221,0.302
0,38,363814.8,363289.01,116.32,GRASS,61,75,58,106.8,0.228,0.293
0,39,363814.8,363289.21,116.32,GRASS,64,77,60,106.8,0.221,0.301
0,40,363814.8,363289.41,116.32,GRASS,67,80,63,105.9,0.213,0.313
0,41,363814.8,363289.61,116.32,GRASS,67,80,63,105.9,0.212,0.314
0,42,363814.8,363289.81,116.32,GRASS,67,80,63,105.9,0.212,0.314
0,43,363814.8,363290.01,116.32,GRASS,70,83,66,105.9,0.205,0.325
0,44,363814.8,363290.21,116.32,GRASS,71,84,67,105.3,0.201,0.33
0,45,363814.8,363290.41,116.33,GRASS,71,83,67,103.8,0.199,0.327
0,46,363814.8,363290.61,116.33,GRASS,72,83,67,99.9,0.197,0.325
0,47,363814.8,363290.81,116.33,GRASS,74,84,67,95.4,0.198,0.329
0,48,363814.8,363291.01,116.33,GRASS,76,85,68,91.8,0.201,0.332
0,49,363814.8,363291.21,116.33,GRASS,78,87,70,91.8,0.196,0.34
0,50,363814.8,363291.41,116.36,GRASS,80,89,72,91.8,0.191,0.349
0,51,363814.8,363291.61,116.36,GRASS,79,89,72,93.2,0.191,0.348
0,52,363814.8,363291.81,116.36,GRASS,78,88,71,96.0,0.192,0.347
0,53,363814.8,363292.01,116.36,GRASS,78,89,72,100.2,0.19,0.351
0,54,363814.8,363292.21,116.36,GRASS,79,91,74,103.1,0.186,0.358
0,55,363814.8,363292.41,116.36,GRASS,78,91,74,105.6,0.186,0.356
0,56,363814.8,363292.61,116.38,GRASS,77,89,73,104.4,0.186,0.351
0,57,363814.8,363292.81,116.38,GRASS,76,88,71,102.5,0.185,0.344
0,58,363814.8,363293.01,116.38,GRASS,78,88,72,99.5,0.179,0.346
0,59,363814.8,363293.21,116.38,GRASS,78,87,72,95.5,0.176,0.342
0,60,363814.8,363293.41,116.38,GRASS,79,86,72,89.6,0.169,0.339
0,61,363814.8,363293.61,116.43,GRASS,80,87,73,87.0,0.163,0.341
0,62,363814.8,363293.81,116.43,GRASS,81,87,73,87.0,0.163,0.342
0,63,363814.8,363294.01,116.43,GRASS,82,89,74,89.6,0.164,0.349
0,64,363814.8,363294.21,116.43,GRASS,83,91,76,92.0,0.164,0.358
0,65,363814.8,363294.41,116.43,GRASS,84,92,77,92.0,0.163,0.361
0,66,363814.8,363294.61,116.48,GRASS,84,92,77,92.0,0.163,0.36
0,67,363814.8,363294.81,116.48,GRASS,82,91,75,94.6,0.169,0.355
0,68,363814.8,363295.01,116.48,GRASS,78,89,73,99.3,0.179,0.348
0,69,363814.8,363295.21,116.48,GRASS,76,88,72,104.1,0.188,0.346
0,70,363814.8,363295.41,116.48,GRASS,76,89,72,106.2,0.188,0.35
0,71,363814.8,363295.61,116.52,GRASS,76,88,72,105.2,0.19,0.347
0,72,363814.8,363295.81,116.52,GRASS,76,88,71,101.6,0.192,0.345
0,73,363814.8,363296.01,116.52,GRASS,78,88,71,95.9,0.196,0.346
0,74,363814.8,363296.21,116.52,GRASS,80,89,73,92.0,0.187,0.351
0,75,363814.8,363296.41,116.52,GRASS,82,89,74,89.9,0.171,0.35
0,76,363814.8,363296.61,116.58,GRASS,83,89,75,88.5,0.159,0.35
0,77,363814.8,363296.81,116.58,GRASS,82,89,74,88.7,0.168,0.348
0,78,363814.8,363297.01,116.58,GRASS,82,89,73,88.0,0.178,0.35
0,79,363814.8,363297.21,116.58,GRASS,83,90,74,86.6,0.179,0.353
0,80,363814.8,363297.41,116.58,GRASS,82,89,73,86.6,0.18,0.35
0,81,363814.8,363297.61,116.63,GRASS,79,88,71,90.8,0.196,0.345
0,82,363814.8,363297.81,116.63,GRASS,77,87,70,94.3,0.197,0.341
0,83,363814.8,363298.01,116.63,GRASS,77,87,71,97.6,0.177,0.34
0,84,363814.8,363298.21,116.63,GRASS,80,88,74,95.1,0.164,0.346
0,85,363814.8,363298.41,116.63,GRASS,82,90,75,93.0,0.168,0.353
0,86,363814.8,363298.61,116.67,GRASS,82,90,74,91.8,0.182,0.354
0,87,363814.8,363298.81,116.67,GRASS,80,89,72,91.8,0.19,0.35
0,88,363814.8,363299.01,116.67,GRASS,81,91,74,93.2,0.188,0.355
0,89,363814.8,363299.21,116.67,GRASS,80,90,73,96.0,0.188,0.354
0,90,363814.8,363299.41,116.67,GRASS,79,90,73,99.9,0.19,0.353
0,91,363814.8,363299.61,116.73,GRASS,75,87,69,102.4,0.199,0.34
0,92,363814.8,363299.81,116.73,GRASS,73,86,69,105.2,0.2,0.339
0,93,363814.8,363300.01,116.73,GRASS,73,86,69,106.4,0.197,0.338
0,94,363814.8,363300.21,116.73,GRASS,70,83,67,107.0,0.2,0.326
0,95,363814.8,363300.41,116.73,GRASS,67,80,64,107.8,0.197,0.313
0,96,363814.8,363300.61,116.8,GRASS,70,81,66,105.3,0.188,0.318
0,97,363814.8,363300.81,116.8,GRASS,76,86,70,99.5,0.18,0.336
0,98,363814.8,363301.01,116.8,GRASS,80,89,74,92.7,0.169,0.347
0,99,363814.8,363301.21,116.8,GRASS,83,89,75,87.5,0.16,0.35
0,100,363814.8,363301.41,116.8,GRASS,84,89,75,84.0,0.157,0.351
0,101,363814.8,363301.61,116.86,GRASS,85,90,76,81.3,0.159,0.353
0,102,363814.8,363301.81,116.86,GRASS,86,92,77,82.3,0.164,0.361
0,103,363814.8,363302.01,116.86,GRASS,86,93,77,87.3,0.173,0.365
0,104,363814.8,363302.21,116.86,GRASS,82,91,75,94.4,0.18,0.357
0,105,363814.8,363302.41,116.86,GRASS,75,85,69,99.9,0.191,0.335
0,106,363814.8,363302.61,116.94,GRASS,70,81,65,101.9,0.199,0.319
0,107,363814.8,363302.81,116.94,GRASS,71,81,65,97.7,0.193,0.318
0,108,363814.8,363303.01,116.94,GRASS,76,84,69,89.6,0.176,0.328
0,109,363814.8,363303.21,116.94,GRASS,83,87,74,80.1,0.159,0.343
0,110,363814.8,363303.41,116.94,GRASS,86,90,76,76.2,0.153,0.353
0,111,363814.8,363303.61,117.01,GRASS,88,92,78,76.7,0.152,0.359
0,112,363814.8,363303.81,117.01,GRASS,89,92,78,74.6,0.149,0.36
0,113,363814.8,363304.01,117.01,GRASS,87,90,77,71.5,0.148,0.352
0,114,363814.8,363304.21,117.01,GRASS,87,89,76,69.8,0.146,0.35
0,115,363814.8,363304.41,117.01,GRASS,86,89,75,73.1,0.151,0.349
0,116,363814.8,363304.61,117.08,GRASS,85,89,75,77.2,0.162,0.349
0,117,363814.8,363304.81,117.08,GRASS,84,90,75,81.9,0.17,0.353
0,118,363814.8,363305.01,117.08,GRASS,84,91,74,85.3,0.186,0.357
0,119,363814.8,363305.21,117.08,GRASS,84,93,75,87.1,0.193,0.363
0,120,363814.8,363305.41,117.08,GRASS,84,93,75,89.1,0.191,0.363
0,121,363814.8,363305.61,117.14,GRASS,83,92,75,90.9,0.187,0.36
0,122,363814.8,363305.81,117.14,GRASS,81,90,73,91.8,0.182,0.352
0,123,363814.8,363306.01,117.14,GRASS,78,86,71,91.9,0.18,0.339
0,124,363814.8,363306.21,117.14,GRASS,75,83,68,91.2,0.182,0.326
0,125,363814.8,363306.41,117.14,GRASS,76,84,68,90.4,0.185,0.329
0,126,363814.8,363306.61,117.25,GRASS,82,90,73,87.3,0.184,0.352
0,127,363814.8,363306.81,117.25,GRASS,83,91,74,88.1,0.188,0.358
0,128,363814.8,363307.01,117.25,GRASS,78,87,70,91.9,0.198,0.341
0,129,363814.8,363307.21,117.25,GRASS,75,85,68,95.1,0.2,0.334
0,130,363814.8,363307.41,117.25,GRASS,78,88,71,93.6,0.186,0.344
0,131,363814.8,363307.61,117.29,GRASS,84,92,76,88.7,0.172,0.361
0,132,363814.8,363307.81,117.29,GRASS,85,91,76,81.9,0.169,0.357
0,133,363814.8,363308.01,117.29,GRASS,84,89,74,80.3,0.172,0.351
0,134,363814.8,363308.21,117.29,GRASS,85,91,76,83.0,0.171,0.358
0,135,363814.8,363308.41,117.29,GRASS,85,92,76,85.6,0.173,0.361
0,136,363814.8,363308.61,117.36,GRASS,83,91,74,88.5,0.181,0.356
0,137,363814.8,363308.81,117.36,GRASS,80,90,73,94.4,0.183,0.352
0,138,363814.8,363309.01,117.36,GRASS,78,89,73,99.3,0.182,0.349
0,139,363814.8,363309.21,117.36,GRASS,77,88,72,101.2,0.183,0.344
0,140,363814.8,363309.41,117.36,GRASS,73,85,69,101.9,0.19,0.332
0,141,363814.8,363309.61,117.43,GRASS,73,84,68,102.2,0.193,0.33
0,142,363814.8,363309.81,117.43,GRASS,73,83,67,98.4,0.19,0.325
0,143,363814.8,363310.01,117.43,GRASS,75,84,69,97.7,0.185,0.331
0,144,363814.8,363310.21,117.43,GRASS,76,87,71,99.5,0.182,0.34
0,145,363814.8,363310.41,117.43,GRASS,78,89,73,101.9,0.185,0.35
0,146,363814.8,363310.61,117.49,GRASS,78,90,73,102.8,0.186,0.352
0,147,363814.8,363310.81,117.49,GRASS,77,89,72,102.0,0.185,0.348
0,148,363814.8,363311.01,117.49,GRASS,77,87,72,100.1,0.17,0.342
0,149,363814.8,363311.21,117.49,GRASS,80,89,76,100.3,0.144,0.348
0,150,363814.8,363311.41,117.49,GRASS,84,92,81,101.2,0.122,0.361
0,151,363814.8,363311.61,117.56,GRASS,88,93,83,93.4,0.107,0.366
0,152,363814.8,363311.81,117.56,CONCRETE,98,99,92,72.2,0.076,0.39
0,153,363814.8,363312.01,117.56,CONCRETE,112,109,104,37.7,0.072,0.438
0,154,363814.8,363312.21,117.56,CONCRETE,125,120,116,23.8,0.077,0.492
0,155,363814.8,363312.41,117.56,CONCRETE,133,126,123,18.1,0.079,0.523
0,156,363814.8,363312.61,117.56,CONCRETE,137,130,125,21.9,0.085,0.538
0,157,363814.8,363312.81,117.56,CONCRETE,139,131,126,26.2,0.096,0.544
0,158,363814.8,363313.01,117.56,CONCRETE,139,131,124,27.4,0.107,0.546
0,159,363814.8,363313.21,117.56,CONCRETE,138,130,123,28.6,0.111,0.542
0,160,363814.8,363313.41,117.56,CONCRETE,130,124,116,32.7,0.113,0.511
0,161,363814.8,363313.61,117.56,CONCRETE,116,112,102,41.7,0.12,0.456
0,162,363814.8,363313.81,117.56,CONCRETE,101,99,88,51.8,0.13,0.395
0,163,363814.8,363314.01,117.56,CONCRETE,90,90,78,60.0,0.136,0.355
0,164,363814.8,363314.21,117.56,GRASS,86,87,74,66.9,0.146,0.342
0,165,363814.8,363314.41,117.56,GRASS,86,88,75,70.4,0.149,0.346
0,166,363814.8,363314.61,117.56,GRASS,84,87,74,75.3,0.155,0.343
0,167,363814.8,363314.81,117.69,GRASS,82,87,73,81.2,0.161,0.34
0,168,363814.8,363315.01,117.69,GRASS,79,86,72,88.9,0.168,0.338
0,169,363814.8,363315.21,117.69,GRASS,80,89,74,95.7,0.172,0.35
0,170,363814.8,363315.41,117.69,GRASS,80,91,75,102.0,0.179,0.357
0,171,363814.8,363315.61,117.69,GRASS,77,90,73,105.0,0.187,0.352
0,172,363814.8,363315.81,117.78,GRASS,72,85,68,105.9,0.199,0.335
0,173,363814.8,363316.01,117.78,GRASS,72,85,68,105.9,0.201,0.332
0,174,363814.8,363316.21,117.78,GRASS,71,84,67,105.9,0.203,0.328
0,175,363814.8,363316.41,117.78,GRASS,70,83,66,105.9,0.205,0.324
0,176,363814.8,363316.61,117.78,GRASS,71,84,67,104.7,0.2,0.328
0,177,363814.8,363316.81,117.91,GRASS,76,87,71,102.9,0.187,0.342
0,178,363814.8,363317.01,117.91,GRASS,77,89,73,101.6,0.181,0.347
0,179,363814.8,363317.21,117.91,GRASS,76,87,71,101.2,0.184,0.342
0,180,363814.8,363317.41,117.91,GRASS,74,85,69,101.2,0.188,0.334
0,181,363814.8,363317.61,117.91,GRASS,72,83,67,101.2,0.192,0.326
0,182,363814.8,363317.81,118.03,GRASS,70,82,66,103.2,0.2,0.322
0,183,363814.8,363318.01,118.03,GRASS,70,82,66,106.2,0.194,0.323
0,184,363814.8,363318.21,118.03,GRASS,70,83,68,110.6,0.184,0.325
0,185,363814.8,363318.41,118.03,GRASS,69,82,67,114.1,0.181,0.323
0,186,363814.8,363318.61,118.03,GRASS,67,81,66,115.7,0.185,0.317
0,187,363814.8,363318.81,118.09,GRASS,66,81,65,116.3,0.2,0.318
0,188,363814.8,363319.01,118.09,GRASS,65,81,64,116.6,0.214,0.319
0,189,363814.8,363319.21,118.09,GRASS,65,82,64,115.7,0.219,0.32
0,190,363814.8,363319.41,118.09,GRASS,69,84,67,110.6,0.212,0.331
1,0,363815.0,363281.41,116.2,GRASS,17,27,36,208.4,0.529,0.142
1,1,363815.0,363281.61,116.2,GRASS,16,27,36,207.5,0.541,0.14
1,2,363815.0,363281.81,116.2,GRASS,16,27,35,205.0,0.554,0.138
1,3,363815.0,363282.01,116.2,GRASS,15,27,34,203.4,0.562,0.135
1,4,363815.0,363282.21,116.2,GRASS,16,27,34,202.8,0.537,0.133
1,5,363815.0,363282.41,116.23,GRASS,16,27,33,202.1,0.511,0.131
1,6,363815.0,363282.61,116.23,GRASS,17,28,34,201.0,0.499,0.134
1,7,363815.0,363282.81,116.23,GRASS,17,28,34,200.9,0.498,0.135
1,8,363815.0,363283.01,116.23,GRASS,17,28,34,200.1,0.49,0.132
1,9,363815.0,363283.21,116.23,GRASS,19,30,34,196.3,0.436,0.131
1,10,363815.0,363283.41,116.26,GRASS,23,33,36,192.0,0.365,0.14
1,11,363815.0,363283.61,116.26,GRASS,25,36,37,189.6,0.321,0.147
1,12,363815.0,363283.81,116.26,GRASS,28,38,39,186.3,0.287,0.152
1,13,363815.0,363284.01,116.26,GRASS,31,41,41,179.5,0.244,0.163
1,14,363815.0,363284.21,116.26,GRASS,35,46,44,169.9,0.236,0.181
1,15,363815.0,363284.41,116.28,GRASS,38,50,46,158.1,0.24,0.196
1,16,363815.0,363284.61,116.28,GRASS,45,58,50,145.7,0.223,0.227
1,17,363815.0,363284.81,116.28,GRASS,54,67,57,134.8,0.188,0.261
1,18,363815.0,363285.01,116.28,GRASS,61,73,61,123.2,0.173,0.288
1,19,363815.0,363285.21,116.28,GRASS,65,78,63,112.4,0.188,0.304
1,20,363815.0,363285.41,116.31,GRASS,69,82,66,106.1,0.2,0.321
1,21,363815.0,363285.61,116.31,GRASS,70,83,66,103.5,0.208,0.325
1,22,363815.0,363285.81,116.31,GRASS,70,82,65,103.9,0.21,0.323
1,23,363815.0,363286.01,116.31,GRASS,67,80,63,107.3,0.215,0.316
1,24,363815.0,363286.21,116.31,GRASS,65,79,62,111.8,0.214,0.311
1,25,363815.0,363286.41,116.29,GRASS,63,79,62,115.0,0.213,0.309
1,26,363815.0,363286.61,116.29,GRASS,61,77,60,117.2,0.213,0.301
1,27,363815.0,363286.81,116.29,GRASS,59,75,59,116.8,0.22,0.294
1,28,363815.0,363287.01,116.29,GRASS,60,75,58,113.4,0.223,0.294
1,29,363815.0,363287.21,116.29,GRASS,61,75,58,109.5,0.227,0.293
1,30,363815.0,363287.41,116.32,GRASS,63,76,59,107.2,0.223,0.298
1,31,363815.0,363287.61,116.32,GRASS,67,79,63,105.7,0.211,0.311
1,32,363815.0,363287.81,116.32,GRASS,72,84,68,103.7,0.196,0.33
1,33,363815.0,363288.01,116.32,GRASS,75,87,70,102.3,0.188,0.34
1,34,363815.0,363288.21,116.32,GRASS,75,86,70,100.2,0.185,0.337
1,35,363815.0,363288.41,116.32,GRASS,73,84,68,99.8,0.19,0.329
1,36,363815.0,363288.61,116.32,GRASS,71,82,66,102.0,0.199,0.322
1,37,363815.0,363288.81,116.32,GRASS,68,80,63,104.4,0.208,0.313
1,38,363815.0,363289.01,116.32,GRASS,65,77,61,105.2,0.216,0.304
1,39,363815.0,363289.21,116.32,GRASS,65,78,61,105.9,0.216,0.307
1,40,363815.0,363289.41,116.32,GRASS,68,81,64,105.5,0.209,0.317
1,41,363815.0,363289.61,116.32,GRASS,70,82,66,105.2,0.204,0.323
1,42,363815.0,363289.81,116.32,GRASS,70,82,66,105.2,0.204,0.323
1,43,363815.0,363290.01,116.32,GRASS,72,85,68,105.9,0.201,0.332
1,44,363815.0,363290.21,116.32,GRASS,73,86,69,105.0,0.197,0.336
1,45,363815.0,363290.41,116.33,GRASS,73,85,68,102.3,0.197,0.333
1,46,363815.0,363290.61,116.33,GRASS,74,84,68,97.7,0.197,0.33
1,47,363815.0,363290.81,116.33,GRASS,75,84,68,93.9,0.198,0.331
1,48,363815.0,363291.01,116.33,GRASS,76,85,68,91.8,0.201,0.332
1,49,363815.0,363291.21,116.33,GRASS,77,86,69,91.8,0.195,0.338
1,50,363815.0,363291.41,116.36,GRASS,79,88,71,92.5,0.189,0.345
1,51,363815.0,363291.61,116.36,GRASS,78,88,71,94.9,0.187,0.344
1,52,363815.0,363291.81,116.36,GRASS,78,88,72,98.4,0.189,0.347
1,53,363815.0,363292.01,116.36,GRASS,77,89,72,101.8,0.189,0.35
1,54,363815.0,363292.21,116.36,GRASS,79,91,74,103.8,0.186,0.356
1,55,363815.0,363292.41,116.36,GRASS,79,91,74,104.6,0.184,0.357
1,56,363815.0,363292.61,116.38,GRASS,77,89,73,103.2,0.184,0.349
1,57,363815.0,363292.81,116.38,GRASS,75,86,70,102.0,0.187,0.338
1,58,363815.0,363293.01,116.38,GRASS,76,87,71,100.0,0.184,0.34
1,59,363815.0,363293.21,116.38,GRASS,78,88,72,96.4,0.18,0.345
1,60,363815.0,363293.41,116.38,GRASS,81,89,73,91.5,0.175,0.348
1,61,363815.0,363293.61,116.43,GRASS,81,89,73,89.1,0.173,0.348
1,62,363815.0,363293.81,116.43,GRASS,82,89,74,89.1,0.172,0.349
1,63,363815.0,363294.01,116.43,GRASS,82,90,75,90.5,0.173,0.353
1,64,363815.0,363294.21,116.43,GRASS,83,92,76,92.7,0.172,0.359
1,65,363815.0,363294.41,116.43,GRASS,82,91,76,94.2,0.171,0.357
1,66,363815.0,363294.61,116.48,GRASS,81,91,75,96.1,0.17,0.355
1,67,363815.0,363294.81,116.48,GRASS,80,90,74,98.2,0.175,0.354
1,68,363815.0,363295.01,116.48,GRASS,78,89,73,101.3,0.185,0.35
1,69,363815.0,363295.21,116.48,GRASS,76,89,72,103.8,0.193,0.348
1,70,363815.0,363295.41,116.48,GRASS,75,88,71,105.5,0.194,0.347
1,71,363815.0,363295.61,116.52,GRASS,75,87,70,105.3,0.194,0.343
1,72,363815.0,363295.81,116.52,GRASS,75,87,70,102.9,0.193,0.342
1,73,363815.0,363296.01,116.52,GRASS,78,88,71,97.0,0.19,0.345
1,74,363815.0,363296.21,116.52,GRASS,80,89,73,90.9,0.181,0.347
1,75,363815.0,363296.41,116.52,GRASS,82,88,73,86.2,0.17,0.346
1,76,363815.0,363296.61,116.58,GRASS,83,89,74,83.3,0.163,0.349
1,77,363815.0,363296.81,116.58,GRASS,84,89,74,83.6,0.167,0.351
1,78,363815.0,363297.01,116.58,GRASS,84,90,75,84.6,0.173,0.354
1,79,363815.0,363297.21,116.58,GRASS,84,91,75,85.3,0.175,0.357
1,80,363815.0,363297.41,116.58,GRASS,84,91,75,86.9,0.178,0.356
1,81,363815.0,363297.61,116.63,GRASS,80,89,72,91.1,0.19,0.349
1,82,363815.0,363297.81,116.63,GRASS,77,87,70,95.5,0.194,0.34
1,83,363815.0,363298.01,116.63,GRASS,76,86,70,99.1,0.182,0.336
1,84,363815.0,363298.21,116.63,GRASS,78,87,72,97.7,0.173,0.343
1,85,363815.0,363298.41,116.63,GRASS,80,89,74,96.4,0.173,0.35
1,86,363815.0,363298.61,116.67,GRASS,80,89,73,95.6,0.183,0.351
1,87,363815.0,363298.81,116.67,GRASS,78,88,71,95.3,0.192,0.345
1,88,363815.0,363299.01,116.67,GRASS,79,90,72,95.8,0.191,0.351
1,89,363815.0,363299.21,116.67,GRASS,79,90,73,97.3,0.188,0.353
1,90,363815.0,363299.41,116.67,GRASS,78,90,73,100.4,0.189,0.351
1,91,363815.0,363299.61,116.73,GRASS,74,86,69,103.3,0.197,0.338
1,92,363815.0,363299.81,116.73,GRASS,73,86,69,106.6,0.2,0.337
1,93,363815.0,363300.01,116.73,GRASS,72,85,68,108.5,0.2,0.335
1,94,363815.0,363300.21,116.73,GRASS,69,83,66,109.5,0.202,0.324
1,95,363815.0,363300.41,116.73,GRASS,67,80,64,109.7,0.196,0.314
1,96,363815.0,363300.61,116.8,GRASS,68,80,65,107.5,0.185,0.312
1,97,363815.0,363300.81,116.8,GRASS,73,84,69,101.9,0.18,0.329
1,98,363815.0,363301.01,116.8,GRASS,79,87,72,94.9,0.172,0.343
1,99,363815.0,363301.21,116.8,GRASS,81,89,74,89.5,0.164,0.348
1,100,363815.0,363301.41,116.8,GRASS,82,88,74,86.0,0.161,0.347
1,101,363815.0,363301.61,116.86,GRASS,84,90,75,83.3,0.159,0.351
1,102,363815.0,363301.81,116.86,GRASS,85,91,76,83.6,0.161,0.356
1,103,363815.0,363302.01,116.86,GRASS,84,91,76,87.7,0.169,0.358
1,104,363815.0,363302.21,116.86,GRASS,81,90,74,93.0,0.176,0.352
1,105,363815.0,363302.41,116.86,GRASS,76,86,70,96.9,0.184,0.337
1,106,363815.0,363302.61,116.94,GRASS,73,83,67,98.1,0.19,0.324
1,107,363815.0,363302.81,116.94,GRASS,74,83,68,94.6,0.184,0.324
1,108,363815.0,363303.01,116.94,GRASS,79,86,71,87.3,0.17,0.336
1,109,363815.0,363303.21,116.94,GRASS,85,89,75,79.6,0.157,0.35
1,110,363815.0,363303.41,116.94,GRASS,86,90,77,77.9,0.15,0.354
1,111,363815.0,363303.61,117.01,GRASS,87,91,78,80.1,0.146,0.357
1,112,363815.0,363303.81,117.01,GRASS,88,92,79,79.8,0.141,0.36
1,113,363815.0,363304.01,117.01,GRASS,88,91,78,76.0,0.143,0.357
1,114,363815.0,363304.21,117.01,GRASS,87,90,76,73.2,0.148,0.352
1,115,363815.0,363304.41,117.01,GRASS,86,89,75,75.8,0.153,0.35
1,116,363815.0,363304.61,117.08,GRASS,84,89,75,79.8,0.163,0.349
1,117,363815.0,363304.81,117.08,GRASS,84,90,74,83.6,0.172,0.352
1,118,363815.0,363305.01,117.08,GRASS,83,91,74,87.7,0.185,0.355
1,119,363815.0,363305.21,117.08,GRASS,83,92,74,90.7,0.19,0.359
1,120,363815.0,363305.41,117.08,GRASS,83,92,74,92.5,0.194,0.362
1,121,363815.0,363305.61,117.14,GRASS,83,93,75,93.6,0.195,0.363
1,122,363815.0,363305.81,117.14,GRASS,82,92,74,94.1,0.193,0.36
1,123,363815.0,363306.01,117.14,GRASS,79,88,72,94.4,0.189,0.347
1,124,363815.0,363306.21,117.14,GRASS,77,86,70,93.1,0.186,0.337
1,125,363815.0,363306.41,117.14,GRASS,77,86,70,90.7,0.186,0.336
1,126,363815.0,363306.61,117.25,GRASS,83,90,74,88.3,0.183,0.355
1,127,363815.0,363306.81,117.25,GRASS,82,91,74,89.2,0.188,0.355
1,128,363815.0,363307.01,117.25,GRASS,76,85,68,91.9,0.197,0.334
1,129,363815.0,363307.21,117.25,GRASS,74,83,67,93.9,0.197,0.325
1,130,363815.0,363307.41,117.25,GRASS,77,86,70,93.0,0.185,0.335
1,131,363815.0,363307.61,117.29,GRASS,82,89,74,89.1,0.172,0.35
1,132,363815.0,363307.81,117.29,GRASS,83,89,74,84.0,0.171,0.348
1,133,363815.0,363308.01,117.29,GRASS,84,89,74,81.0,0.172,0.349
1,134,363815.0,363308.21,117.29,GRASS,85,91,76,82.6,0.169,0.356
1,135,363815.0,363308.41,117.29,GRASS,85,92,77,84.9,0.166,0.36
1,136,363815.0,363308.61,117.36,GRASS,83,91,75,88.5,0.172,0.355
1,137,363815.0,363308.81,117.36,GRASS,80,89,73,94.5,0.179,0.348
1,138,363815.0,363309.01,117.36,GRASS,77,87,71,99.4,0.184,0.342
1,139,363815.0,363309.21,117.36,GRASS,75,86,70,101.2,0.185,0.339
1,140,363815.0,363309.41,117.36,GRASS,74,85,69,101.6,0.189,0.333
1,141,363815.0,363309.61,117.43,GRASS,74,85,69,101.8,0.19,0.333
1,142,363815.0,363309.81,117.43,GRASS,74,84,69,100.4,0.184,0.331
1,143,363815.0,363310.01,117.43,GRASS,75,85,70,99.9,0.181,0.334
1,144,363815.0,363310.21,117.43,GRASS,75,86,70,101.4,0.185,0.336
1,145,363815.0,363310.41,117.43,GRASS,75,87,71,103.1,0.191,0.342
1,146,363815.0,363310.61,117.49,GRASS,74,87,70,104.0,0.194,0.34
